csv_post_title,csv_post_post,csv_post_type,csv_post_categories,description_value,item_value,unit_value,size_value,pack_value,cbm_value,qty_value
BL110088,BL110088,post,Plain wooden box,PU WOODEN TRAYS,BL110088,S/2,48*6.5*29.5   43.5*6*25.5,1,0.076,759
BL110089,BL110089,post,Plain wooden ,PU WOODEN TRAYS,BL110089,S/2,48*6.5*29.5   43.5*6*25.5,1,0.076,759
BL110090,BL110090,post,Plain wooden ,PU WOODEN TRAYS,BL110090,S/2,48*6.5*29.5   43.5*6*25.5,1,0.076,759
BL110091,BL110091,post,Plain wooden ,PU WOODEN TRAYS,BL110091,S/2,48*6.5*29.5   43.5*6*25.5,1,0.076,759
BL110092,BL110092,post,Plain wooden ,PU WOODEN TRAYS,BL110092,S/2,48*6.5*29.5   43.5*6*25.5,1,0.076,759
BL110093,BL110093,post,Plain wooden ,PU WOODEN TRAYS,BL110093,S/2,48*6.5*29.5   43.5*6*25.5,1,0.076,759
BL110094,BL110094,post,Plain wooden ,PU WOODEN TRAYS,BL110094,S/2,48*6.5*29.5   43.5*6*25.5,1,0.076,759
BL110095,BL110095,post,Plain wooden ,PU WOODEN TRAYS,BL110095,S/2,48*6.5*29.5   43.5*6*25.5,1,0.076,759
BL110096,BL110096,post,Wine box/cabinet,PU WOODEN TRAYS,BL110096,S/2,48*6.5*29.5   43.5*6*25.5,1,0.076,759
BL110097,BL110097,post,Wine box/cabinet,PU WOODEN TRAYS,BL110097,S/2,48*6.5*29.5   43.5*6*25.5,1,0.076,759
BL110098,BL110098,post,Wine box/cabinet,PU WOODEN TRAYS,BL110098,S/2,48*6.5*29.5   43.5*6*25.5,1,0.076,759
BL110099,BL110099,post,Wine box/cabinet,PU WOODEN TRAYS,BL110099,S/2,48*6.5*29.5   43.5*6*25.5,1,0.076,759
